fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.091167,0.406868,0.406913,0.407000,0.581427,0.402370
2,1.111419,0.374104,0.374273,0.373561,0.560593,0.373034
3,1.083556,0.413887,0.414148,0.412366,0.592461,0.410890
4,1.088315,0.411663,0.411955,0.412970,0.586742,0.404874
5,1.098643,0.402273,0.402366,0.402001,0.576331,0.401715
