fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.209391,0.381618,0.381810,0.381030,0.549011,0.380014
2,1.149984,0.358088,0.357978,0.358095,0.511822,0.354604
3,1.102522,0.368382,0.369208,0.374001,0.530354,0.349007
4,1.179970,0.363235,0.363597,0.364694,0.525938,0.357544
5,1.099076,0.364706,0.363661,0.359243,0.523965,0.345176
