fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.117536,0.349265,0.347936,0.341189,0.511081,0.329168
2,1.130466,0.330882,0.330595,0.330643,0.502809,0.329129
3,1.117216,0.341912,0.341478,0.343233,0.496200,0.339483
4,1.130469,0.336029,0.335394,0.343184,0.481974,0.329926
5,1.123866,0.363971,0.363876,0.364120,0.521984,0.361731
