fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.136352,0.400198,0.400470,0.399289,0.572531,0.395424
2,1.208708,0.387447,0.387639,0.388331,0.563314,0.385719
3,1.106248,0.405980,0.406181,0.404600,0.583654,0.404659
4,1.091434,0.392389,0.392721,0.399921,0.574779,0.372683
5,1.332330,0.404744,0.404837,0.405773,0.581988,0.403853
