fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.325813,0.393034,0.393106,0.393017,0.571069,0.392972
2,1.290639,0.395602,0.395797,0.394426,0.565820,0.394099
3,1.132248,0.420311,0.420472,0.419390,0.588089,0.419090
4,1.300003,0.407709,0.407806,0.407901,0.579913,0.407272
5,1.203224,0.409686,0.409802,0.409995,0.582032,0.408427
