fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.101389,0.394022,0.394216,0.393154,0.566538,0.392106
2,1.384432,0.385471,0.385172,0.387684,0.553744,0.381054
3,1.129408,0.401285,0.401700,0.414249,0.581232,0.382986
4,1.126802,0.392389,0.392535,0.393492,0.570632,0.386466
5,1.205026,0.394613,0.394703,0.395296,0.566256,0.387357
