fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.102486,0.366601,0.366581,0.368364,0.531586,0.364900
2,1.116193,0.343464,0.343324,0.340610,0.506858,0.328346
3,1.104338,0.363479,0.363541,0.363555,0.529085,0.358651
4,1.100530,0.366444,0.366526,0.366156,0.533936,0.366106
5,1.103573,0.367433,0.367519,0.366544,0.528478,0.366344
