fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.099638,0.346591,0.346686,0.345944,0.516659,0.345592
2,1.101634,0.340252,0.340286,0.340419,0.513051,0.337936
3,1.096385,0.359526,0.359609,0.357580,0.529443,0.347980
4,1.098708,0.358043,0.358426,0.358115,0.526671,0.348228
5,1.098365,0.366938,0.366862,0.366000,0.525969,0.359148
