fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.103084,0.361765,0.361092,0.363291,0.528528,0.356810
2,1.355720,0.345588,0.345211,0.345715,0.497660,0.344007
3,1.121886,0.359559,0.358084,0.342769,0.517909,0.297472
4,1.111921,0.354412,0.352279,0.365647,0.517724,0.270535
5,1.099206,0.363235,0.363551,0.373161,0.528467,0.354344
