fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.106233,0.349265,0.348854,0.349524,0.497419,0.346508
2,1.108573,0.331618,0.330621,0.319799,0.492890,0.304603
3,1.098564,0.375735,0.375786,0.376338,0.530128,0.373900
4,1.108144,0.335294,0.335927,0.331369,0.495859,0.316297
5,1.098148,0.375000,0.375619,0.390573,0.527770,0.364717
