fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.120009,0.346324,0.347697,0.320993,0.498655,0.281871
2,1.122694,0.351471,0.350020,0.343115,0.486811,0.283019
3,1.111176,0.366176,0.366094,0.361593,0.525482,0.345819
4,1.101845,0.365441,0.364618,0.375107,0.520633,0.352307
5,1.100955,0.368382,0.367592,0.370108,0.532261,0.342823
