fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.102389,0.407609,0.407601,0.407564,0.585602,0.404514
2,1.127013,0.386706,0.386617,0.387972,0.560464,0.382861
3,1.106445,0.406721,0.406933,0.405166,0.582313,0.404727
4,1.110447,0.414628,0.414771,0.413714,0.583922,0.413583
5,1.112702,0.393378,0.393540,0.396647,0.567978,0.387688
