fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.134132,0.403409,0.403451,0.403613,0.576549,0.403515
2,1.145733,0.393378,0.393421,0.393558,0.570904,0.393191
3,1.093194,0.398814,0.399067,0.402667,0.575390,0.391370
4,1.122427,0.408204,0.408312,0.407885,0.583847,0.407334
5,1.116806,0.400297,0.400575,0.401575,0.575889,0.394534
