fold,loss,accuracy,recall,precision,roc_auc,f1
1,0.974973,0.506930,0.422253,0.483372,0.651300,0.409562
2,0.972591,0.500504,0.418955,0.498772,0.653574,0.410329
3,0.963745,0.518649,0.437232,0.527939,0.666583,0.431196
4,0.969299,0.509703,0.425017,0.492511,0.657097,0.414201
5,0.971380,0.508191,0.426649,0.515593,0.653838,0.418973
