fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.108754,0.354412,0.353036,0.359530,0.498669,0.327959
2,1.106842,0.335294,0.335949,0.329084,0.498157,0.322968
3,1.107500,0.348529,0.348176,0.346684,0.506398,0.343057
4,1.103887,0.356618,0.356991,0.355586,0.506272,0.355147
5,1.097266,0.377941,0.378159,0.377595,0.533356,0.377526
