fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.100085,0.358943,0.359079,0.358491,0.517978,0.357697
2,1.101268,0.358537,0.358202,0.370046,0.522692,0.312006
3,1.097411,0.359031,0.359153,0.356389,0.525232,0.348046
4,1.095970,0.361008,0.361033,0.360603,0.532843,0.351554
5,1.098709,0.358784,0.358512,0.360274,0.522408,0.346486
