fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.101393,0.351471,0.351665,0.351619,0.519769,0.349528
2,1.120142,0.338235,0.339328,0.335885,0.499832,0.319333
3,1.116981,0.364706,0.363818,0.369477,0.523530,0.355397
4,1.110487,0.346324,0.344556,0.344303,0.505657,0.291541
5,1.103741,0.360294,0.358919,0.354574,0.526170,0.308759
