fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.137809,0.346097,0.346003,0.346082,0.508292,0.345449
2,1.126899,0.347171,0.347211,0.347172,0.510326,0.347118
3,1.112939,0.353348,0.353225,0.353451,0.518508,0.352478
4,1.110340,0.361008,0.361013,0.361051,0.524191,0.360913
5,1.106284,0.363973,0.363981,0.363893,0.526800,0.363918
