fold,loss,accuracy,recall,precision,roc_auc,f1
1,1.106786,0.352206,0.351801,0.358063,0.517303,0.349307
2,1.111460,0.357353,0.357380,0.355683,0.514069,0.354295
3,1.129576,0.341912,0.341137,0.344273,0.492904,0.334546
4,1.119774,0.333088,0.332445,0.337031,0.496124,0.327521
5,1.112138,0.364706,0.364602,0.367887,0.527490,0.364916
